,descriptions
0,
1,ROBBERY
2,BURGLARY
3,ADW W/FIREARM
4,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE
5,ENGAGE/SOLICIT SEX FOR MONEY/ETC
6,DRUNK DRIVING ALCOHOL/DRUGS
7,WARRANT-PETITION TO REVOKE COMMUNITY SUPVN
8,LOITER:INTENT:PROSTITUTION
9,INTENTIONAL INTERFERENCE W/PUBLIC TRANSP
10,THEFT FROM VEHICLE
11,DRINKING IN PUBLIC
12,MAINTAIN PLACE TO SELL CONTROLLED SUBS
13,TRESPASS:RAILROAD PROPERTY
14,"ADW, NOT FIREARM, W/GBI"
15,POSS DEVICE/INSTRUMT/PARAPHERNALIA
16,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC
17,FALSE PERSONATE:SPEC CIRC
18,ILLEGAL POSSESSION OF SHOPPING CART
19,SHOPLIFTING
20,DRINKING ALCOHOL*******
21,REFUSE TO LEAVE LANDS UPON REQUEST
22,POSSESSION CONTROLLED SUBSTANCE
23,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR
24,DRINKING IN PUBLIC***
25,LOITER/OBSTRUCT STREET/SIDEWALK/ETC
26,PROSTITUTION
27,POSSESSION OF SHOPPING CART
28,GIVE TOBACCO/SMOKG PARAPHERNALIA MINR <18
29,PROHIBITED NOISE
30,POSSESSION CNTL SUBSTANCE PARAPHERNALIA
31,DRIVE ON PRIVATE PROPERTY W/O CONSENT
32,PRES AT GAMBLING
33,LOITERING FOR PURPOSES OF PROSTITUTION
34,ENTER/REMAIN ON POSTED PROPERTY
35,MINOR POSSESS ALCOHOL
36,SOLICIT/ENGAGE LEWD ACT IN PUBLIC VIEW
37,GET CREDIT/ETC OTHER'S ID
38,RECEIVING KNOWN STOLEN PROPERTY >$950
39,TERRORIZE CAUSING FEAR
40,VEH MANSLAUGHTR/OPER VESSEL DUI & DUR FEL
41,TRANSPORT/SELL CONTROLLED SUBSTANCE
42,CARRYING CONCEALED WEAPON UPON PERSON
43,POSS F/ARM BY CONVICTED FELON/ADDICT/ETC
44,CARRY CONCEALED WEAPON IN VEHICLE
45,VANDALISM W/LOSS VALUED EQ OR > $400
46,PETTY THEFT
47,VEH MANSLAUGHTER DUI W/GROSS NEGLIGENCE
48,ADW PO/FIREMAN W/O FIREARM/GBI
49,KIDNAPPING FOR RANSOM
50,TAKE VEHICLE W/O OWNER'S CONSENT
51,TAKE VEH:NO CNSNT:SPEC PR
52,CARRY LOADED F/ARM PRSON/HEH PUBLIC PLACE
53,DEFACE PROPERTY
54,DUI ALCOHOL CAUSING INJURY
55,BATTERY ON PO/EMERGENCY PERSONNEL W/O INJ
56,DAMAGE PROPERTY
57,DISOBEY DOMESTIC RELATIONS COURT ORDER
58,PERMIT ANOTHER BRING LOADED F/ARM IN VEH
59,ARSON OF PROPERTY
60,ATTEMPT - ROBBERY
61,FORGERY EXCEEDING $950 NOT CHECK/BOND ETC
62,HIT AND RUN CAUSING INJURY/DEATH
63,PROBATION VIOLATION
64,ATTEMPT - BURGLARY
65,ATTEMPT GRAND THEFT AUTO
66,SEXUAL BATT-TOUCH INTIMATE PART OF OTHER
67,BATTERY ON CUSTODIAL OFFICER/FIREFIGHTER/
68,OBSTRUCT/RESIST EXECUTIVE OFFICER
69,GRAND THEFT MONEY/PROPERTY > $400
70,POSSESS/PURCHASE CONTROLLED SUBS FOR SALE
71,GRAND THEFT AUTO/HORSE/ETC
72,BATTERY ON NONCOHABITATING FORMER SPOUSE
73,DRUNK DRIVING .10 OR ABOVE
74,CARRY CONCEALED ON PERSON DIRK OR DAGGER
75,MURDER:FIRST DEGREE:SHOOT FROM VEHICLE
76,STALKING IN VIOL OF TEMP RESTRAIN ORDER
77,ASSAULT LIKELY TO PRODUCE GBI
78,FAIL PROTECT CHILD FROM SEXUAL ABUSE
79,EVADE PO:DISREGARD SAFETY
80,AGGRAVATED ARSON
81,DISOBEY DOMESTIC RELATIONS CRT ORDER W/PR
82,"PARENT IN CUSTODY, NO CARETAKER AVAILABLE"
83,BATTERY W/GBI
84,POSSESSION MARIJUANA FOR SALE
85,CONSPIRACY TO COMMIT ANY CRIME
86,BURGLARY FROM VEHICLE
87,SEXT ACT W/CHILD UNDER 10 YRS OF AGE
88,CRUEL TO CHILD LIKELY TO PROD GBI/DEATH
89,POSS STOLEN VEH/VES/ETC
90,CAUSE HARM/DEATH OF ELDER/DEPEND ADULT
91,CARRY LOADED HANDGUN: NOT OWNER
92,DRIVE W/LIC SUSPEND/REVOKE 4 OTHER REASON
93,BATTERY ON PEACE OFFICER
94,FUGITIVE FROM JUSTICE WARRANTLESS ARR
95,VANDALISM W/LOSS VALUED EQ OR > $400/10000
96,CARRY LOADED FIREARM:GANG MEMBER
97,VANDALISM
98,CHILD UNDER 5 SEVERE PHYSICAL ABUSE
99,POSSESSION OF KNIFE ON SCHOOL PROPERTY
100,ATTEMPT - MURDER
101,ACCESSORY AFTR FACT-KNOW FEL CRIME/PERSON
102,MFG/SELL/GIVE/LEND POSSESS METAL KNUCKLES
103,ALTER REGISTRATION/LICENSE PLATES/ETC
104,POSS/PURCHASE COCAINE BASE FOR SALE
105,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL
106,LEWD/LASCIVIOUS ACTS W/CHILD < 14 YRS
107,RESIDENTIAL BURGLARY
108,EMBEZZLEMENT OF PROP UND LEASE/LIEN >$400
109,RAPE - VICTIM INCAPABLE OF CONSENT
110,"DISORD CONDUCT:UI/DRUG, ALCOHOL"
111,POSSESSION CONTROLLED SUBSTANCE FOR SALE
112,MAYHEM
113,CARJACKING
114,POSSESSION OF ASSAULT WEAPON
115,OFFER FALSE/FORGED INSTRUMENT TO BE FILED
116,THROW SUBSTANCE AT VEHICLE W/GBI INTENT
117,DESTROY PROPERTY
118,DUI W/PRIOR SPEC CONVICTIONS
119,ILLEGAL POSS CONCEAL F/ARM PRIOR CONVICTN
120,ADW W/SEMIAUTOMATIC RIFLE
121,TRANSPORT/SELL/ETC CONTROLLED SUBSTANCE
122,UNDER INFLUENCE CNTL SUB
123,VIOLATION OF PAROLE:FELONY
124,EXTORTION
125,FALSE IDENTIFICATION TO PEACE OFFICER
126,MFG/SELL/GIVE/LEND POSSESS ANY NUNCHAKU
127,FALSE IMPRISONMENT
128,BATTERY ON PERSON
129,TAKE MODIFIED DISABLE PERSON EMER VEH
130,FORGE/ALTER NARCOTIC PRESCRIPTION
131,MAKE/POSSESS/UTTER FICTITIOUS INSTRUMENTS
132,FALSE REPORT OF BOMB TO ANY PERSON
133,ARSON INHABITED STRUCTURE/PROPERTY
134,MINOR IN POSS OF CONCEALABLE FIREARM/ETC
135,MFG/SELL/GIVE/LEND POSSESS ANY SHURIKEN
136,ILLEGAL POSSESSION OF AMMUNITION
137,ATTEMPT RESIDENTIAL BURGLARY
138,POSSESSION OF CONTROLLED SUBSTANCE
139,DUI OF ANY DRUG
140,TRESPASSING
141,FORGERY/COUNTERFEIT PUBLIC/CORPORATE SEAL
142,GRAND THEFT PERSON
143,PETITION TO REVOKE PRCS
144,KIDNAPPING
145,POSS/SALE MARIJ OVR 21 EMPLOY PER 20/BELW
146,KIDNAP TO COMMIT ROBBERY/RAPE/ETC
147,DEFACE/DAMAGE/ETC PROP<$400W/PREV CONV
148,DEFRAUD INKKEEPER BY NON-PAYMENT < $400
149,BATTERY ON PERSON ON SCHOOL/HOSP/PARK/PROP
150,REFUSE TO LEAVE PROPERTY UPON REQST OWNER
151,RAPE BY FORCE/FEAR
152,FELON PURCHASES/OWNS/POSS BODY ARMOR
153,DUI .08 ALCOHOL CAUSING INJURY
154,BATT EX-SPOUSE/FIANCEE/PERSN W/DATING REL
155,MFG/SELL/POSS ETC LARGE-CAPACITY MAGAZINE
156,GRAND THEFT $/LABOR FROM EMPLOYER > $950
157,PANDERING BY PROCURING
158,FIL TO REGISTER AS SEX OFFENDER
159,UNAUTHORIZED ENTRY NONCOMMERCIAL DWELLNG
160,FTA AFTER WRITTEN PROMISE
161,INSUFFICIENT FUNDS
162,POSSESS OBSCENE MATTER DEPICTING A MINOR
163,AGGRAVATED MAYHEM
164,FLASH INCARCERATION
165,ORAL COPULATION
166,REFUSE TO LEAVE PROPERTY UPON REQUEST P.O.
167,CONTINUOUS SEXUAL ABUSE AGAINST CHILD
168,DEFACE/DAMAGE PROPERTY <$400
169,DRIVE W/LIC SUSPEND/REVOKE 4 DRUGS/ALCOHL
170,PETITION TO REVOKE PAROLE SUPERVISION
171,"INDECENT EXPOSURE,ILL ENTRY OCCUPY DWELLG"
172,TRESPASS AT AIRPORT OPERATIONS AREA
173,OBSTRUCT/ETC PUB OFCR/ETC
174,PAROLE WARRANT
175,LOS ANGELES MUNICIPAL CODE
176,DRIVE W/LIC SUSPEND/REV 4 RECKLESS DRIVG
177,TRESPASSING LANDS UNDER CULTIVATION
178,CONTEMPT OF COURT - DISOBEY COURT ORDER
179,OBTAIN/ETC AID BY FALSE STMENT/ETC > $400
180,REARREST/REVOKE PROBATION/ETC
181,EXHIBIT/DRAW DEADLY WEAPON NOT A FIREARM
182,CONVERT REAL PROPERTY > $100
183,USE OTHERS ID W/INTENT DEFRAUD:W/PRIORS
184,VIOLATION OF PAROLE
185,FIREARM W/NARCOTICS
186,ORAL COPULATION BY USE OF FORCE/INJURY
187,OBTAIN MONEY BY FALSE PRETENSES >$400
188,SKIING IN CLOSED AREA
189,LOITER IN PUBLIC PLACE FOR ILL DRUG ACT
190,DRIVE W/O INTERLOCK DEV
191,DUI ALCOHOL/DRUGS ON BICYCLE
192,OCCUPANT W/CONCEALED FIREARM IN VEHICLE
193,GRAND THEFT (OVER $400)
194,DRINKING ALCOHOL
195,CURFEW - JUV ONLY
196,FTA/TRAFFIC WARRANT
197,ANNOY/MOLET CHILD WITH PRIOR
198,DUI ALCOHOL/DRUG W/PRIORS
199,RIOT
200,MAKE OBSCENE/THREATENING TELEPHONE CALLS
201,PASSENGER FAILING TO USE SEATBELTS
202,PENDING REVOCATION HEARING
203,VIOL DOMESTIC VIOL PROTECT/STAY AWAY ORD
204,HIDE FACTS:INS ENTITLMNTS
205,PROBATION VIOLATION; FEDERAL
206,RECKLESS DRIVING
207,DISP/ETC DANG DRUG/DEVICE
208,WILLFUL DISCHRG FIREARM IN GROSS NEG MANNR
209,BOND SURRENDER
210,DISORD CONDUCT:LOITER/ETC PRIV PROPERTY
211,TRESPASS ON CLOSED LANDS
212,SANTA MONICA MUNICIPAL CODE
213,HIRE VEH W/O LIC
214,ILLEGAL POSSESSION OF SHOPPING CART****
215,TAMPER W/VEHICLE
216,EVADE RAILROAD FARE
217,ASSAULT RESULT DEATH OF CHILD UNDER 8YR
218,POSS ID OF 10 OR MORE PRSN W/INTENT DEFRAU
219,POSSESSION NARCOTIC CONTROLLED SUBSTANCE
220,LEAVING PERSONAL PROP ON SIDEWALK
221,DRIVE WITH KNOWLEDGE THAT LIC SUSP/REV
222,OPERATE MASSAGE PARLOR W/O PERMIT
223,CARRY SWITCHBLADE KNIFE UPON PERSON
224,LOUD/UNREASONABLE NOISE
225,ANNOY/MOLEST CHILD
226,OFFER FALSE/FORGED INSTRUMENT TO BE FILED5
227,HIT AND RUN:PROP DAMAGE
228,GRAND THEFT FIREARM/AUTO/ETC
229,SIT/LIE/SLEEP SIDEWALK OR STREET
230,CONTRIBUTING TO DELINQUENCY OF MINOR
231,POSS/OWN F/ARM IN VIOL OF PROB CONDITION
232,POSSESS CONTROLLED SUBSTANCE
233,MAKE/CAUSE FALSE/FRAUDULENT STATEMENTS
234,POSSESS ITEMS W/INTENT TO FORGE/CNTRFEIT
235,MFG/SELL/GIVE/LEND POSSES LEADED CANE/ETC
236,UNLICENSED DRIVER
237,BURGLARY:FIRST DEGREE
238,MISC OFFENSES
239,MINOR PURCH/REC TOBACCO/TOB PARAPHERNALIA
240,THEFT FROM ELDER/DEPENDENT ADULT $400
241,FUGITIVE FROM JUSTICE:WARRANTLESS ARREST
242,POSS DEADLY WEAPON TO INTIMIDATE WIT/VICT
243,"VANDALISM PLACE WORSHP,REL/RACIAL REASON"
244,POSS OPEN CONTAINER ALC BEV
245,POSS KNIFE/ETC AT SCHL W/GRADES 1 THRU 12
246,ILLEGAL POSS OF AMMO BY SCHOOL PERSONNEL
247,FALSE PERSONATION IN SUIT OF PROSECUTION
248,REFUSE TO LEAVE PRIVATE PROPERTY
249,POSSESSION BURGLARY TOOLS
250,SEX WITH MINOR UNDER 16 BY PERSON 21+
251,POSSESS CONCENTRATED CANNABIS
252,POSSESS/ETC SUBSTANCE SIMILAR TO TOLUENE
253,"INJURING A SPOUSE/COHABITANT, ETC W/PRIOR"
254,PARK REGULATIONS
255,BATT ON SCHL EMPLOYEE/RETALIATION W/INJ
256,LOS ANGELES COUNTY ORDINANCE
257,FALSE CHECKS/REC/CERT/ETC
258,MFG/POSSESS ETC RIFLE/SHORT-BARREL SHOTGUN
259,DRIVE PRIV SUSPEND/REVKD AFTER PRIOR OFFN
260,JUVENILE VIOLATION OF PROBATION
261,LOITER/REFUSE TO IDENTIFY SELF
262,SALE/TRANS >28.5G MARIJUANA OR >4G
263,POSS ALCH BEV ON POSTED PREM
264,SEX REGISTRATION VIOLATION
265,PETTY THEFT WITH SPECIFIC PRIOR
266,BURGLARY:SECOND DEGREE
267,POSS PERSONAL ID INFO W/INTENT TO DEFRAUD
268,POSS OPIUM PIPE/DRUG PARPHERNALIA
269,KEEP DISORDERLY HOUSE
270,FORGERY/COUNTERFEIT DRIVER'S LIC/ID CARD
271,EVADING PO/DRIVE IN RECKLESS MANNER
272,DRIVE W/SUSPENDED/REVOKED LICENSE
273,RAPE
274,SEX BATTERY TOUCH INTIMATE PART OF ANOTHER
275,BEGGING
276,FAILURE TO SIGN CITATION/PRODUCE ID
277,BATTERY TRANSPORTATION PERSONNEL/PASSENGR
278,CERTIFICATE REQUIRED TO OPERATE CARRIER
279,VEHICLE THEFT W/PRIOR FELONY VC10851/GTA
280,VEHICLE THEFT W/PRIOI FELONY VC108851/GTA
281,POSSESS CONTROLLED SUBSTANCE W/SP PRIOR
282,PREVENT/DISSUADE WITNESS/VICTIM FROM TEST
283,ARSON OF STRUCTURE OR FOREST LAND
284,BATTERY ON PO/EMERGENCY PERSONNEL W/INJ
285,ASSAULT W/CAUSTIC CHEMICALS
286,EVADING PEACE OFFICER
287,TRANSPORT/SELL/FURNISH/ETC MARIJUANA
288,EXHIBIT/DRAW FIREARM W/GBI
289,ACQUIRE ACCESS CARD IN 4+ NAMES > 12 MOS
290,ADW W/O FIREARM/GBI
291,POS/ETC F/ARM/DW:MDO PRHB
292,POSS C/SUB WHILE ARMED W/LOADED FIREARM
293,EMBEZZLEMENT >$400
294,MANUFACTURE/ETC CONTROLLED SUBSTANCE
295,SHOOT-INHABIT DWELL/OCCUPY VEH/AIRCRAFT
296,ILLEGAL POSS TEAR GAS SPECIFIC FELON
297,POSSESS MARIJUANA FOR SALE
298,SPOUSAL RAPE BY FORCE/VIOLENCE/FEAR/ETC
299,STALKING
300,SEND/BRG OBSCEN MATR IN STATE 4 SALE/ETC
301,BRING/POSSESS FIREARM ON SCHOOL GROUNDS
302,INFLICT BODILY HARM/DEATH ON ELDER ADULT
303,DISCHARGE FIREARM IN SCHOOL ZONE
304,PUBLISH ACCESS CARD NUMBER TO DEFRAUD
305,ATTEMPT POSS/PURCHASE COCAINE BASE 4 SALE
306,BEYOND PARENTAL CONTROL
307,SEXUAL BATTERY BY RESTRAINT
308,ATTEMPT SODOMY
309,DUI OF ALCOHOL & DRUG
310,POSS DRUGS/ALCOHOLIC BEV:PRISON/JAIL
311,POSSESSION CANNABIS
312,STEAL/OPOSSESS SHOPPING CART
313,TRESPASS ON PVT PROP W/SIGN POSTED
314,SERIOUS EMOTIONAL DAMAGE
315,ROBBERY - SECOND DEGREE
316,MINOR BUY/ETC TOBACCO/ETC
317,ADW (RENUM-245(A)(1)PC / 245(A)(2)PC)
318,DUMP/ETC WASTE/GARB/ETC
319,MFG/DISTRIBUTE/TRANSFER/ETC ASSAULT WPN
320,POSSESS GRAFFITI TOOLS
321,TOW TRUCK OWNR/OPR SOLICIT TOW VEH N/AUTH
322,FALSE ID TO PEACE OFFICER
323,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****
324,ILLEGAL USE OF TEAR GAS/TEAR GAS WEAPON
325,PETTY THEFT LESS THAN $50
326,SELL LIQUOR W/O LICENSE
327,BATTERY OF ELDER OR DEPENDENT ADULT
328,ILLEGAL SPEED CONTEST
329,EVADING POLICE OFFICER/WRONG WAY DRIVER
330,DISREGARD SAFETY:EVADE PO
331,PRESENT FALSE/FRAUD WRITTEN/ORAL STATEMT
332,OWN/POSS F/ARM WHILE SUBJECT RESTRAIN ORD
333,MINOR DRIVE W/BLOOD ALCOHOL OF 0.05%+
334,POSS PROHIB WEAPON BY JUVENILE
335,DESTROY/CONCEAL DOCUMENTARY EVIDENCE
336,ATTEMPT WILLFUL CRUELTY TO CHILD
337,SELL/LET MINOR CONSUME ALCOHOL
338,LITTER PUBLIC/PRIVATE PROPERTY
339,LOITERING
340,ALCOHOLIC BEV LICENSEE POSS UNAUTH LIQ
341,FAIL TO REGISTER W/CAMPUS POLICE/ETC
342,ARRANGE/MTG W/MINOR FOR LEWD BEHAVIOR
343,PLAY SOUND EQUIPMT ON PUBLC TRANSP SYSTM
344,MALICIOUS MISCHIEF TO VEHICLE
345,POSS.ARTICLES/W/COUNTRFEIT REGIST/W/PRIOR
346,TRESPASS W/PRIOR WARNING 24HRS
347,DISOBEY DOMSTC RELATNS CRT ORDR W/PR
348,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE
349,WARRANT ARREST/MINOR
350,THEFT OF UTILITY SERVICES EXCEEDING $400
351,PERJURY (DEFINITION)
352,AID/ABET/ENGAGE IN SPEED CONTEST
353,HIT AND RUN RESULTING IN INJURY
354,CRUEL TO CHLD:POS INJ/DTH
355,ATTEMPT TO PREVENT/DISSUADE/VICTIM FROM
356,PROT CUST/ENDANGER SIBLINGS/UNFIT HOME
357,BENCH WARR/FAIL TO APPEAR ON MISD CHARGE
358,SUPERVISOR OF PROSTITUTE
359,BENCH WARRANT/FAIL TO APPEAR
360,GLENDALE MUNICIPAL CODE
361,FAILURE TO MAINTAIN LIGHTING EQUIPMENT
362,DISOBEY SUBPOENA/REFUSE TO TESTIFY
363,TRANSP C/SUB ILL FOR SALE BETWEEN COUNTY
364,"JUVENILE RUNAWAY, MISSING"
365,THEFT OR ELDER/DEPENDENT ADULT BY CARETKR
366,RAPE -VICTIM UNCONSCIOUS OF NATURE OF ACT
367,CRIMINAL THREATS
368,HUMAN TRAFFICKING - VICTIM UNDER 18 YRS
369,PIMPING
370,DUI OF A DRUG CAUSING INJURY
371,BRING DRUG/DRUG PARAPHERNALIA:JAIL/PRISON
372,COMMERCIAL BURGLARY
373,ATTEMPT RAPE VICTIM INCAPABLE OF CONSENT
374,L & L ACT WITH CHILD 14 OR 15 YEARS OLD
375,UNAUTH POSS OF SHOPPING/LAUNDRY CARTS
376,SMOKE/INGEST MARIJUANA IN PUBLIC PLACE
377,POSS DRIVER'S LIC/ID CARD COMMIT FORGERY
378,REFUSE TO LEAVE PUBLIC BUILDING
379,STREET-SOLICITING EMPLY OF SERVICES
380,USE/UNDER INFLUENCE OF CONTROLLED SUBS
381,ZONING ORD VIOLATION
382,TAMPR/MOLEST FIRE PROTECT EQUIP/ALARM/ETC
383,CULTIVATING <6 MARIJUANA PLANTS
384,FRAUD TO OBT INSURANCE AT A REDUCED RATE
385,WARRANT ARREST PARENT/GUARDIAN
386,FALSE REPORT OF EMERGENCY
387,EVADE PAYFARE PUBLC/SUBSIDIZE TRANSP SYS
388,POSS CONTROLLED SUBS W/SP PRIOR
389,DRUNK DRIVING ADDICT DRIVE VEHICLE
390,TRAN FAIL ANNUAL UPD
391,POS CNTL SUB:W/O PRESCRIP
392,MISC GAMBLING
393,POSS DEADLY WEAPON W/INT ASSAULT ANOTHER
394,LIC SUSPENDED/HABITUAL TRAFFIC OFFENDR
395,FALSE RPT OF CRIMINAL OFFENSE TO ANY PO
396,FAIL REG GAIN/LV RESID
397,ADULT SCHOOL/MOLEST PUPILS
398,FIGHT/CHALLENGE IN PUBLIC PLACE
399,FALSE RPT:POISN/HARMFU SUB FOOD/DRINK/ETC
400,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA
401,HIT AND RUN RESULT IN PERMANENT INJ/DEATH
402,VIDEO/PHOTOGRAPH PERSON IN UNDERGARMENTS
403,INSIDE FENCED PROPERTY W/O PERMISSION
404,MISUSE DISABLED PERSON PLACARD
405,REMOVING SOIL/EARTH/ETC W/O OWNER CONSENT
406,CONDUCTING BUSINESS W/O A LICENSE
407,THEFT OF ACCESS CARD
408,SEX REGS FAIL TO REPORT ADDRESS CHANGE
409,ATTEMPTED EXTORTION
410,"POSS < 1,000 ARTICLES W/COUNTERFEIT MARK"
411,APPROPRIATE LOST PROPERTY
412,FAIL TO GIVE WRITTEN PROMISE TO APPEAR
413,ORAL COPULATION W/PERSON UNDER 16 YEARS
414,FRAUD OBT INS:REDUCE RATE
415,RENT/ETC FOR STORE/SALE/ETC OF CNTL SUBS
416,DAMAGE JAIL/ETC ($400-)
417,SEX WITH MINOR 3+ YRS YOUNGER
418,FAILURE TO CARE FOR AMINAL
419,INTERFERENCE W/UNIV FUNCTIONS/ACTIVITIES
420,DISCHARGE LASER AT AIRCRAFT
421,PERJURY UNDER OATH
422,ALTER/ETC FIREARM MARKINGS
423,EMBEZZLEMENT OF PROPERTY BY EMPLOYEE>$400
424,GRAND THEFT MONEY/PROPERTY > $950
425,SALE OF UNSTAMPED CIGARETTES
426,CAFE ENTERTAINMENT VIOL
427,TATTOO PERSON UNDER 18 YRS
428,ANNOY/MOLEST CHILD (R-1988)
429,CONTEMPT OF COURT - GANG ACT INJUNCTION
430,CONTEMPT OF COURT
431,SEX PENETRATION: FORCE/ETC
432,CHG/ALTER/REMOV/OBLITERATE ID MARKS F/ARM
433,PROMOTE CRIMINAL STREET GANG
434,ROBBERY:SECOND DEGREE
435,ATTEMPT FORCIBLE ORAL COPULATION
436,ASSAULT W/STUN GUN OR TASER
437,PRESENT IN PARK AFTER HOURS
438,URINATING OR DEFECATING IN PUBLIC
439,LONG BEACH MUNICIPAL CODE
440,POSS NARC/DRUG/ALCOHOL/DRUG PARAPH:JAIL
441,USE VEH FOR HABITATION
442,FAILURE TO APPEAR
443,TRUANCY*****
444,OPENLY DISPLAY/EXPOSE IMITATION FIREARM
445,RAPE - USE OF DRUGS/INTOXICANTS
446,COMMIT SODOMY W/FORCE/VIOLENCE/ECT
447,THREATEN SCHOOL OFFICIALS/PO/EMPLOYEES
448,ATTEMPT RECEIVING STOLEN PROPERTY>$400
449,ALCOHOLIC BEV SALES TO INTOXICATED PERSNS
450,DISORD CONDUCT:LODGE W/O CONSENT
451,TRUANCY
452,ASSAULT ON PERSON
453,DRIVING COMMERCIAL VEH W/.04 BLOOD/ALCOHL
454,SALE/OFFER TO SELL/TRANSPORT MARIJUANA
455,SELL/POSS/TRANS TEAR GAS/TEAR GAS WEAPON
456,ILLEGAL SALE OF SPECIFIC TOBACCO PRODUCTS
457,EMBEZZLE/RENTED/LEASED VEHICLE
458,URINTATIN/DEFECATING ON TRAIN OR SYSTEM
459,SMOKE/EAT/DRINK/ETC ON PUBLC TRANSP SYSTM
460,BATTERY GASSING
461,PREPARE/SELL/GIVE C/SUBS TO MINOR/SCHOOL
462,POSSESS SWITCHBLADE KNIFE VEH/PUB PLACE
463,EXHIBIT/DRAW FIREARM
464,PANDERING FOR A MINOR OVER 16 YEARS
465,ATTEMPTED CARJACKING
466,SANTA CLARITA MUNICIPAL CODE
467,PRESENT/ETC FALSE OR FRAUD INSURANC CLAIM
468,EVADING ARREST
469,EMBEZZLE PROP:TRUSTEE/BANKR/MERCHANT>$400
470,POSSESS OBSCENE MATR DEPICTING MINR W/PR
471,PERMIT TOBACCO SMOKING IN ENCLOSE SPACE
472,ENTER/OCCUPY PROPERTY W/O CONSENT
473,GAMBLING LOOKOUT
474,RUN ESCORT SERVICE W/O PERMIT
475,CARRY LOADED FIREARM PROHIBITED/ETC
476,NONSUFFCNT FUNDS CHECK EXCEED $950 W/PR
477,AIDE/ABET SPEED EXHIBITN
478,POSS/PURCHASE STUN GUN BY CONVICTED FELON
479,OWN/OPERATE A 'CHOP SHOP'
480,SEX OFFENDER/DISRUPT SCHOOL
481,PENETRATION W/FOREIGN OBJECT BY FORCE
482,TRESPASS:OBSTRU/ETC BUS OF PUBLIC AGENCY
483,PETTY THEFT DOG W/LESS THAN $400 VALUE
484,UNLAWFUL POSSESSION SPRAY PAINT
485,PENETRATION W/VICTIM UNCONSCIOUS
486,CARRY UNLOADED H/GUN IN PUBLIC/PROH AREA
487,CARRYING KNIFE IN PUBLIC VIEW
488,TRESPASS:RAIL TRANSIT PROPERTY
489,NOISE ORDINANCE VIOLATION
490,PURCHASE F/ARM WHILE SUBJ TO RESTRAIN ORD
491,EVIDENCE OF FINANCIAL RESPONSIBILITY REQ
492,OBTAIN CREDIT/ETC:USE OTHERS ID
493,BATTERY: W/GBI
494,BATTER PERSON NOT INMATE WHILE IN CUST
495,ASSAULT W/FIREARM ON PO OR FIREMAN
496,"JUVENILE, FOUND OR FOUND LOST"
497,LYNCHING
498,POSS CONTROLLED SUBSTANCE W/O PRESCRPTION
499,PRESENT FALSE VEH THEFT/ETC INSUR CLAIM
500,ASSAULT W/INTENT
501,USE/REC BENEFIT FROM UTILITY FRAUD/THEFT
