,descriptions
987,DEPRIVE CUSTODY/VISIT IN VIOL OF CRT ORD
988,CARRY LOAD F/ARM:PR FEL
989,"HIT AND RUN, DEATH/INJURY"
990,MINOR IN POSS CONCEALABLE FIREARM W/PRIOR
991,CULVER CITY MUNICIPAL CODE
992,HIT AND RUN
993,REMOVE CART FROM PREMISES
994,GRAND THEFT AUTO
995,MANHATTAN BEACH MUNICIPAL CODE
996,OFFENSIVE LANGUAGE IN PUBLIC
997,ASSAULT/BATTERY ON SCHOOL PROPERTY
998,DRIVING WITH SUSPENDED LICENSE
999,DISPLAY ANOTHER'S ID CARD
1000,UNLAWFUL DISPLAY OF DRIVER'S LICENSE
1001,POSSESS DANGEROUS FIREWORKS W/O PERMIT
1002,UNLIC NONRES DIST NDL/ETC
1003,POSS/COMPLEED CHECK W/INTENT COMIT FORGY
1004,IMPERSONATING A PEACE OFFICER
1005,DEALING IN SECONDHAND GOODS W/O LICENSE
1006,OPER TAXI W/O FRANCHISE
1007,SELL/USE/ETC UNCLASSIFIED/UNREG FIREWORKS
1008,CARRY CONCEALED WEAPON ON PERSON/VEH
1009,ILLEGAL RESALE OF TICKETS
1010,SOLICIT SIDEWALK
1011,UNLAWFUL CATERING TRUCK SALES
1012,UNAUTH POSS/USE DAIRY EQUIP VALUED < $400
1013,EXHIBIT/DRAW DEADLY WEAPON/FIREARM
1014,CONDUCT DANCE W/O PERMIT
1015,OFFER OF SUBSTITUTE ALCOHOLIC BEV BRAND
1016,FAIL TO CARRY VALID BATON PERMIT
1017,ILLEGAL SALE OF FIREWORKS
1018,UNLAWFUL PARKING PEDDLERS/VENDORS
1019,DUMP/ETC GARBAGE/REFUSE:PUBL STREET/PROP
1020,UNLAWFUL POSSESSION OF FIREWORKS
1021,ENTER WITHOUT PAYING ADMISSION
1022,SCALPING
1023,SOLICTIT BUS SDWK
1024,CRIMES AGAINST CHILDREN/LEWD/LASCIVIOUS
1025,UNAUTH USE OF PRIV PATROL SECURITY BADGE
1026,FAIL TO DISPLAY FOOD FACILITY PERMIT
1027,UNLAWFUL BIKE RIDING ON WALKWAY
1028,FAIL TO MAINTAIN MOTEL REGISTER
1029,GRAFFITI PRIV PROP/DAMAGE UNDER $250
1030,LOITERING NEAR POSTED PROPERTY
1031,ILLEGAL GAMBLING
1032,URINATING IN PUBLIC
1033,SELL/FURNISH SPRAY PAINT TO MINOR
1034,DUMP OFFENSIVE MATTER
1035,MINOR PURCHASE SPRAY PAINT
1036,MINOR POSS 28.5+ GRAMS MARIJUANA/SCHOOL
1037,MASSAGE TECHNICIAN W/O PERMIT
1038,SOLICIT BUS SDWK
1039,POSSESS OF MARIJUANA WHILE DRIVING VEH
1040,PARKING LOT W/O PERMIT
1041,MISC OFFENSE
1042,POSSESS ANY ALCOHOLIC BEV LIST IN BP2535
1043,NO DRINKING SIGN REQ OFF-SALE PREM
1044,ALCHL BEV LIC PERMIT MINOR CONSUME ALCOHL
1045,PAINT RETAILR FAIL POST VANDL PUNISH SIG
1046,ASSAULT WITH DEADLY WEAPON PERSON
1047,AMPLIFIED SOUND REGULATIONS
1048,TAMPERING WITH RECYCLING OR REFUSE
1049,HIRE PERSON TO PROCURE LIQUOR SALES
1050,HIRE TO PROCURE LIQUOR SALE
1051,DISTR/EXHIBIT/ETC HARMFUL MATTER TO MINR
1052,REFUSE TO DISPERSE
1053,LISTEN POLICE/FIRE RADIO IN VEH
1054,FIREWORKS REGULATION
1055,PEDDLING AFTER HOURS
1056,POSS/ETC OBSCENE MATT:CHILD UNDER 14
1057,SELL IMPROPERLY PACKAGED CIGARETTES
1058,LITTER/DUMP WASTE IN WATER/ON SHORE
1059,FURN PROHIB WEAPON TO JUVENILE
1060,DUMP WASTE MATTER
1061,COIN OP MUSIC MACHINE W/O LIC
1062,ALLOW OPEN CONTAINER IN PASSENGER AREA
1063,OBSTRUCTION OF STREET SIGNS
1064,UNLAWFUL PARKING FOR PEDDLING/SALES
1065,DUMPING INTO PUBLIC SEWER SANITARY FAC
1066,THROW FLAMING SUBSTANCE FROM VEHICLE
1067,ADULTERATE/SELL ADULTERATD FOOD/DRUGS/ETC
1068,UNLICENSED DOG
1069,OPR BIKE:RD/ETC:WRONG WAY
1070,LOOKOUT WARNING OF POLICE
1071,WRITING GRAFFITI ON PUBLIC TRANSP W/PR
1072,ERECT UNLAWFUL SIGN ON PUB PROP
1073,LOITERING WHERE CHILDREN PRESENT
1074,INVADE PRIVACY:PEEK THRU HOLE IN BATHROOM
1075,MINOR POSS < 28.5 GRAMS MARIJUANA/SCHOOL
1076,ILLEGAL POSTING OF SIGN ON PUB PROP
1077,SALES TO INTOXICATED PERSONS
1078,OBSTRUCT STREET/SIDEWALK PUBLIC PLACE
1079,LOITERING ON PRIVATE PROPERTY
1080,RIDING BICYCLE WITHOUT A HELMET
1081,TRESPASS PRIVATE PROP/MTN FIRE DIST
1082,ILLEGAL ENTRY - MTN FIRE DIST
1083,GAME ARCADE VIOLATION
1084,SLEEP ON BEACH HRS OF DARKNESS
1085,MFG/SELL/ETC ALCOHOL CONTAIN POISN SUBS
1086,RESTAINT OF DOGS
1087,BEACH/WATER REC AREA VIOLATION
1088,MINOR ATT PURCHASE ALCOHOLIC BEVERAGE
1089,POST SIGNS ON PUBLIC PROPERTY
1090,INHUMANE TRANSPORT OF ANIMAL
1091,ASSAULT ON SCHOOL/PARK PROPERTY
1092,OPERATE BICYCLE AT NIGHT W/O LIGHTS
1093,UNREGISTERED VEHICLE ON HIGHWAY
1094,OPR BIKE W/O BRAKES
1095,PED NOT ON LEFT EDGE ROAD
1096,FAILURE TO USE SEATBELTS
1097,NO DRIVER'S LICENSE IN POSSESSION
1098,LICENSE PLATE LIGHT CLEARLY VISIBLE
1099,BICYCLIST ALLOW RIDER ON OTHER THAN SEAT
1100,DRIVING W/O LIGHTS AFTER DARK
1101,PEDESTRIAN NOT ENTER HWY/RED LIGHT
1102,BIKE HEADLIGHT/ETC VIOL
1103,DISOBEY TRAFFIC CONTROL DEVICE
1104,SEATBELT VIOL:PRIVATE VEH
1105,FAIL TO USE CHILD RESTRAINT SYSTEM
1106,UNBELTED TOT 4+:PARNT VEH
1107,RIDING BIKE TOO FAR FR RIGHT EDGE OF RD
1108,DRIVING W/OBSTRUCTED VIEW
1109,LOCATION/NUMBER OF LICENSE PLATES
1110,ATTEMPT TO DESTROY PROPERTY $1000-
1111,FAIL TO MAKE PROPER STOP AT INTERSECTION
1112,LEFT TURN/U-TURN RIGHT OF WAY
1113,OPERATE VEH PAINTED 2 RESEMBLE POLICE VEH
1114,OWNER'S RESPONSIBILITY
1115,CLOSED AREA-MTN FIRE DIST REGS
1116,DRIVING W/DEFECTIV WINDSHIELD/REAR WINDOW
1117,POSSESS OPEN CONTAINER IN MOTOR VEHICLE
1118,OPERATE VEH W/OUTSIDE AMPLIFICATN SYSTEM
1119,UNLICENSED CLUB ROOM
1120,PARENT FAIL TO USE CHILD RESTRAINT SYSTEM
1121,IMPROPER TAILLAMP COLOR
1122,DRIVE THRU CLOSED R/R CROSSING GATE
1123,FAIL TO DRIVE RIGHT OF ROADWAY
1124,DISOBEY RESTRICTIONS OF LICENSE
1125,DEVICES ON FRONT WINDOWS/OBSTRUCT VIEW
1126,EMPLOY MINOR WHERE ALCOHOL SOLD
1127,AUTO DEALER/MFG TRANSPORT W/O LICENSE
1128,FAILURE TO OBEY OFFICER
1129,MODIFIED EXHAUST SYSTEM
1130,IMPEDING NORMAL FLOW OF TRAFFIC
1131,TRESPASSING: RAILROAD FACILITY
1132,PREVENT/DISSUADE WITNESS/VICTIM
1133,"NOISE ORD - MOTOR VEH ENGINE, ETC"
1134,TRESPASS ON HOUSING AUTHORITY PROPE
1135,ILLEGAL SALES - FREEWAY RAMPS
1136,PEDDLING/SOLICITING ON BEACH
1137,POSSESS/SELL/MFG DANGEROUS WEAPON
1138,PROHIBITED SMOKING
1139,DOG ON PUBLIC BEACH
1140,OVER 8 ENTER PARK RESTROOM OP SEX
1141,MINOR EMPLOYED WHERE ALCOHOL IS SOLD
1142,ILLEGAL FIRE IN PARK
1143,DRIVE VEH W/O CITY PERMIT
1144,POSSESS DIRK/DAGGER
1145,DRIVE AGAINST TRAFFIC/ONE-WAY STREET
1146,UNLAWFUL BIKE RIDE/OCEAN FRN WALK
1147,POSSESSION METHAQUALONE/MECLOQUALONE
1148,BILLIARDS W/O PERMIT
1149,MAKE/SELL FAKE ID CARD
1150,MGG/SELL/POSS DANGEROUS WEAPON/ETC
1151,FIRE REGULATION
1152,USE SLUGS/ETC IN PAY TELEPHONE
1153,FAIL TO REGISTER AS CNTL SUBS OFFENDER
1154,EVADE PAY FARE ON PUBLC TRANSP SYSTEM
1155,THEFT BY NON-RETURN OF RENTAL PROPERTY
1156,INDECENT EXPOSURE PUBLIC PROP
1157,DLR FAIL RPT PROP:PD/SO
1158,SEX WITH MINOR FEMALE
1159,FAIL TO MAINTAIN ADEQUATE MUFFLER
1160,VENDING ON FREEWAY RIGHT-OF-WAY
1161,INNKEEPER/CARRIER REFUSE GUEST/PASSENGER
1162,ILLEGAL SELLING IN PARK
1163,DAMAGING OR REMOVING HIGHWAY SIGNS
1164,LICENSE REGULATIONS - POST LIC/REG
1165,"UNAUTH RECORD (< 1,000 ART) LIVE PERFORM"
1166,PERMIT TOBACCO SMOKING IN ENCLOSED SPACE
1167,KEEP/MFG/REPAIR/OWN/ETC SLOT MACHINE
1168,VIDEO RETAILER CREATE 'ADULTS ONLY' SECT
1169,FAIL TO DISCLOSE RECORDING ORIGIN
1170,HARMFUL MATTER VENDING MACHINE NEAR SCHL
1171,FAIL TO DISCLOSE ORIGIN OF RECORDING
1172,"DEPOSIT OFFENSIVE SUBS,PUBLIC ASSEMBLY"
1173,FALSE INFORMATION/I.D. TO PAWNBROKER/ETC
1174,WRITING GRAFFITI ON REAL/PERSONAL PROP
1175,WASH VEHICLE IN STREET
1176,MISUSE OF PARKING METER
1177,VISIT GAMBLE ROOMS
1178,EVADE PAY ADMSN FEE
1179,ANNOY/ETC CHILD UNDER 18
1180,SEXUAL BATTERY: BY RESTRAINT
1181,ANNOY/MOLEST CHILDREN <18
1182,PROHIBITED VEH REPAIR IN RESID AREA
1183,DISTURBANCE OF PUBLIC MEETING/ASSEMBLY
1184,POSSESSION DANGEROUS DRUGS W/O PRESC
1185,DUMP WASTE IN WATER/ON SHORE
1186,BEGGING IN FOOD/DRINK ESTABLISHMENT
1187,DRAINING OIL ON STREET
1188,FURNISH MINOR W/FALSE EVIDENCE OF AGE
1189,FORTUNE TELLING
1190,UNLAWFUL ASSEMBLY
1191,ILLEGAL SEXUAL INTERCOURSE W/MINOR FEMALE
1192,ILLEGAL EXCAVATING/DUMPING
1193,TOWING W/O PERMIT
1194,NO VACCINATION CERTIFICATE
1195,INHALATION OF TOLUENE
1196,PARK PARKING LOT REGULATIONS
1197,POSSESSION OF OPEN CONTAINER
1198,USE OPEN OUTDOOR FIRE FOR DISPOSAL
1199,FIREARM/FIREWORK/AIRGUN/ETC IN PARK
1200,INSUFFICIENT SIGNAL DURATION
1201,DRIVING MOTORCYCLE W/O WEARING A HELMET
1202,STOPLAMP VIOLATIONS
1203,CROS IN XWALK:PROHIB SIGN
1204,OPER BICYCLE AT NIGHT W/O REAR REFLECTOR
1205,DRIVER FAIL TO USE CHILD RESTRAINT SYSTEM
1206,EXPIRED TABS/FAIL DISPLAY
1207,STORAGE OF OPEN CONTAINER
1208,NOT CONFORMING TO SEATBELT REGULATIONS
1209,ABANDON DOG OR CAT
1210,FAILURE TO MAINTAIN TWO STOPLAMPS
1211,FAIL TO CARRY ID FOR FIREARM/DUTY
1212,INTERFERE W/ANY PART OF POWER LINES
1213,FOOD WASTE DISP. ETC VIOL
1214,STORAGE OF OPENED RECEPTACLE
1215,EVADING TAXI FARE
1216,ZONING ORD VIOL (OPEN-AIR SALES)
1217,PARKING REGULATION - SIGN REQUIRED
1218,EXHIBIT DEFORMITIES FOR HIRE
1219,OPR FOOD FACIL W/O PERMIT
1220,"ATTEMPT -VANDALISM LOSS > $1,000 < $5,000"
1221,DESTROY POSTED SIGNS
1222,DISTRIBUTE UNSOLICITED TOBACCO
1223,DISORDERLY CONDUCT:LODGE WITHOUT CONSENT
1224,FAIL CARRY SECURITY GUARD REGI CARD
1225,< AGE 21 DRIVING VEH W/BLOOD-ALCOHOL .01+
1226,LOCKSMITH W/O PERMIT
1227,SECONDHAND DEALER/ETC ILL DISPOSAL/PROP
1228,SELL/GIVE/ETC FIREWORKS TO UNLIC PERSON
1229,FAIL TO STOP AT R/R CROSSING SIGNAL
1230,SEATBELT VIOLATION
1231,SELL/GIVE LOTTERY TICKETS
1232,DEST EVID/OWNERSHIP OF LOGS/LUMBER/WOOD
1233,POSSESS/USE/ETC LIQ ON SCHOOL PROPERTY
1234,USE/DISPLAY ANOTHER'S REAL ESTATE LICENSE
1235,NOISE ORD AMPLIFIED SOUND-THEATRES
1236,UNLAWFUL USE OF PRIVATE SECURITY BADGE
1237,REFUSE TO IDENTIFY SELF
1238,POSS OF OPEN CONTAINER OF ALCOHOL IN PARK
1239,SPECIAL POLICE - BADGE REQUIRED
1240,SELLING W/O PERMIT
1241,AUTO REPAIR: MAINT/INSPECTION OF RECORDS
1242,VANDALISM USE NOXIOUS/CAUSTIC CHEM/SUBS
1243,UNLAWFUL LIGHTS OTHER THAN REQUIRED
1244,LEWD/LASCIV ACT W/CHILD-SUSPECT 10YR OLDR
1245,FAILURE TO CARRY REGISTRATION IN VEHICLE
1246,EXCEED SPEED ON HIGHWAY
1247,NOTIFY DMV/CHANGE OF ADDRESS 10 DAYS
1248,FAILURE TO WEAR SEATBELT
1249,PARK IN SPACE FOR DISABLE
1250,ATTEMPT TO POSS < 28.5 GRAMS OF MARIJUANA
1251,FAIL TO REPORT SERL SECONDHAND PROPERTY
1252,GRAFFITI ON GOVERNMENT OBJECTS
1253,SOLICIT CUSTOMERS ON ST/SIDEWALK
1254,ILL SALE REC PROP
1255,MFG/IMPORT/SELL COMPOSITE/WOODEN KNUCKLES
1256,DOOR TO DOOR SELL/SOL 2100/0800
1257,CARRY AWAY TIMBER/WOOD FR LAND OF ANOTHR
1258,FISHING W/O A LICENSE
1259,UNDER INFLUENCE OF TOLUENE
1260,OWN/TRAIN ANIMAL OTHER THAN DOG FOR FIGHT
1261,PERMIT/CAUSE COCKFIGHTING
1262,CRIMINAL CONTEMPT
1263,MOCK AUCTION
1264,PREVENT/DISSUADE WIT/VICT
1265,DESCRIPTION NON-SERIALIZED OBJECT
1266,FAIL TO REG FOR SALE/ETC OF PIPERIDINE
1267,ATTEMPT LEWD/LASCIVIOUS ACTS W/CHILD < 14
1268,TRESPASS ON POSTED PROPERTY
1269,FAIL TO MAINTAIN HEADLAMP
1270,FAIL TO YIELD:PED:XWALKS
1271,FAIL TO SECURE PAYMENT COMPENSATION
1272,SECONDHAND DEALER W/O PERMIT
1273,FAIL FURNISH PROOF OF FINANCIAL RESPNSBTY
1274,AUTOMOTIVE REPAIR INVOICE FRAUD
1275,USE OF CONTAMINATE BOTTLES FOR ALCOHL BEV
1276,UNAUTH POSSESSION OF PRESCRIPTION BLANKS
1277,PETTY THEFT LESS THAN $50 W/O PRIOR
1278,TAXI & AUTO TRANS
1279,NO CASING SHIELD OBSTRUCT LICENSE PLATE
1280,PED SOLICT W/IN 500FT OF FWY
1281,FAIL CARRY SEC GUARD FIREARM PERMIT
1282,WEAR HEADSET/COVERS BOTH EARS
1283,UNAUTHORIZED ALTERATION OF DRIVER'S LIC
1284,MFG/SELL/GIVE/LEND POSSESS CANE SWORD
1285,SELLING WITHOUT PERMIT
1286,AVOID AIRPORT SCREENING/INSPECTION
1287,POSS/ETC ILLEGAL TEAR GAS WEAPON
1288,CLIMB ON ELECTRICAL POWER POLES/TOWERS
1289,PURCHASE/POSS/USE STUN GUN BY DRUG ADDICT
1290,LEGIBLE FINGERPRINT OF SELLER
1291,ACTING AS A LOOK-OUT
1292,POSSESS OPEN CONTAINER WHILE DRIVING VEH
1293,OPER VEH EXCESSIVE SPEED PVT PROP
1294,CONTEMPT OF COURT -DISOBEY GANG INJUNCTION
1295,DRAW WATER FROM CLOSED WORKS
1296,SOLICIT WITHOUT PROPER NOTICE
1297,INJURE STANDING CROPS
1298,PLAY BALL/GAMES IN STREET OR PARK
1299,POSS FOR SALE/SELL CONT SUBSTANCE
1300,ROBBERY OF COMMON CARRIER
1301,PASS HIRE/NO PERM
1302,DRIVING ON CENTER DIVIDER
1303,ARCADE W/O PERMIT
1304,CONFINE ANIMAL W/INADEQUATE EXERCISE AREA
1305,MFG/SELL/POSS ETC ANY WRITING PEN KNIFE
1306,MFG/SELL/GIVE/LEND POSSES BELT BUKL KNIFE
1307,NOISE ORD - LOAD/UNLOAD VEHS
1308,DISCHARGE FIREARM IN PUBLIC
1309,DISCHARGE BB DEVICE IN GROSSLY NEG MANNER
1310,LOS ANGELES COUNTY CODE
1311,GRAND THEFT GOLD DUST/QUICKSILVER/ETC
1312,USE TEAR GAS W/O PROOF OF TRAINING
1313,ENTER DISASTER AREA AFTR NOTIC EVAC
1314,VENDING--FREEWAY RIGHTOF WAY
1315,POSS FOR SALE/SELL ANY SYNTH CANNABINOID
1316,REMOVING SOIL/EARTH/ROCK FROM PUBLIC PROP
1317,FURNISH ALCOHOLIC BEVERAGE TO A MINOR
1318,UNLAWFUL 911 CALLS
1319,LARCENY OF WRITTEN INSTRUMENTS
1320,PASSING COUNTERFEIT NOTES
1321,DISTURB RELIGIOUS MEETING
1322,POSS DEADLY WPN W/INT TO ASSAULT ANOTHER
1323,DISPLY CANC/REVOK/SUSP/ETC REAL EST LIC
1324,REFUSE TO LEAVE PROPERTY UPON REQ OF PO
1325,FORCIBLE ENTRY W/PROPERTY DAMAGE
1326,DUMP ROCKS/DIRT
1327,UNLAWFUL ACTIVITIES-SPORTING EVENT
1328,DISPLAY FALSE DISABLED PERSON PLACARD
1329,INJURING PROPERTY
1330,POSS CART/ETC W/NUMBERS REMOVED/ALTER/ETC
1331,WILLFU CRUELTY/GBI ON ELDER/DEPENDT ADULT
1332,KNIFE AND DAGGER IN PUBLIC
1333,MFG W/INT DELIVER/ETC DRUG PARAPH TO MINR
1334,USE HAND ORGAN ON SIDEWALK/STREET
1335,UNLIC SELL/ETC NEEDL/ETC
1336,SECONDHAND DEALER VIOL
1337,PERMIT REQUIRED FOR DOG KENNEL
1338,TRANSPORT/DELIVER/ETC DRUG PARAPHERNALIA
1339,ATTEMPT REMOVE FIREARM FROM PEACE OFFICER
1340,TAMPER/REMOVE/DISPLACE/INJURE OR DESTROY
1341,SMOKE MARIJ LOC WHERE SMOKE TOBACCO PROH
1342,CONVICTED VIOL FELON REFUSE LEAVE PROPERTY
1343,ALARM W/O PERMIT
1344,BUILD FIRES ON POSTED PROPERTY
1345,USE MINOR UNDER 14 TRANS/SELL MARIJUANA
1346,AUDIBLE SIGNALING DEVICES
1347,PLANT/CULTIVATE/PROCESS/ETC PEYOTE
1348,REFUSAL TO LEAVE BATTERED WOMEN'S SHELTER
1349,ACT UNLAWFULLY AS AUCTIONEER
1350,POSS/SMOKE/INGEST MARIJ SCHOOL/DAYCARE/YC
1351,ILLEGALLY DISTRIBUTE ELECTRONIC ID INFO
1352,BATTERY ON PERSON ON SCHOOL PROPERTY
1353,IMPROPER DISPOSAL OF FETAL REMAINS
1354,SHOPLIFT
1355,UNLAWFULLY POSSESS KNIFE IN AIRPORT
1356,DESTROY EVID/OWNERSHIP OF WRECK PROPERTY
1357,DUMP WASTE/ROCKS/ETC
1358,SELL ADULTERATED/TAINTED FOOD/ETC
1359,MISC MUNI CODE
1360,POSS OPEN CONT/PACKG MARIJ DRIVR/PASSNGER
1361,POSSESS DANGEROUS FIREWORKS
1362,POSSESS CONCENTRATED CANNABIS W/SP PRIOR
1363,CARRY CONCEAL WEAPN IN VEH W/PR FEL CONVI
1364,ATTEMPT RAPE BY USE OF DRUGS/INTOXICANTS
1365,OWN LET UNLICENSD OPR VEH
1366,VIOL PROMISE TO APPEAR/WORK RELEASE PROG
1367,CARRYING CONCEALED WEAPON WITHIN VEHICLE
1368,CARRY LOADED FIREARM IN PUBLIC PLACE
1369,ATTEMPT FELONY POSS CONTROLLED SUBSTANCE
1370,MINOR IN POSSESSION STUN GUN
1371,EMBEZZLE OF PROPERTY BY CARRIER
1372,INFLICT CORPORAL INJ:SPOUSE ETC W/PRIOR
1373,ATT INFLICT CORP INJ SPOUSE/COHABITANT
1374,POSSESSION DESTRUCTIVE DEVICE
1375,MFG/SELL/POSSESS FIGHTING BIRD EQUIPMENT
1376,POSS SUBS W/INTENT TO MFG PCP/PCP ANALOGS
1377,PAROLE VIOLATION
1378,SODOMY ACTING IN CONCERT W/FORCE
1379,CARRY CONCEALD STOLEN WPN
1380,FALSE PERSONATION TO MAKE OTHER LIABLE
1381,CARRY FIREARM W/NARCOTICS
1382,POSSESS FIREARM W/ALTERED IDENTIFICATION
1383,"RECEIVE KNOWN STOLEN PROPERTY,<$400"
1384,INDUCE/ETC MINOR TO USE/SELL MARIJUANA
1385,SEX REGISTRANT FAIL TO REGISTER
1386,ILUSE TEARGAS/TG WPN:PO
1387,POSSESS OBSCENE MATR DEPICTING MINOR
1388,CARRY CONCEAL WEAPN IN VEH W/PR CONVICTN
1389,DUI WITH PRIOR CONVITIONS
1390,INTENTIONAL VIOL OF PROTCTVE ORDR W/PRIOR
1391,MANUFACTURE/SELL WEAPON W/O HANDLE
1392,CARRY STOLEN LOADED F/ARM
1393,CARRYING CONCEALED WEAPON ON PERSON
1394,DUP VEH MASTER KEY W/O MAINT ID OF BUYER
1395,POSSESSION OF FIREARM BY FELON/ADDICT/ETC
1396,FAILURE TO PROVIDE FOR MINOR CHILD
1397,RECKLESS DRIVING CAUSING GBI W/PRIOR
1398,MFG HARD PLASTIC KNUCKLES
1399,CCW:PROHIB/UNLAWFUL POSS
1400,CCW:CRIM ST GANG:ACTIVE
1401,CARRY CONCEALED WEAPON ON PERSON W/O LIC
1402,UNAUTH RFIL DANG DRUG/ETC
1403,CHANGE/ALTER/ETC FIREARM MARKINGS
1404,FAIL TO FILE TAX W/INTENT TO DEFRAUD
1405,GRAND THEFT VEHICLE/VESSEL/ETC
1406,REMOVE MINOR FROM CUSTODY OF PARENT
1407,MFG/DISTRIBUTE/TRANSFER/ETC ASSAULT WEAPN
1408,POSSESS/TRANSPORT MACHINEGUN
1409,ILLEGAL USE/ETC TEAR GAS/ETC
1410,THROWING TRASH ON PRIVATE AREA
1411,POSSESS ARMOR PENETRATING AMMUNITION
1412,THEFT FROM ELDER/DEPENDENT ADULT $400+
1413,VANDALISM LESS THAN $400 W/PRIOR
1414,ATTEMPT TRANSPORT/SELL NARCOTIC/CNTL SUBS
1415,GARDENA MUNICIPAL CODE
1416,POSSESS DEVICE TO TAMPER W/VENDING MACH
1417,HOMELESS SEX OFF FAIL UPDATE
1418,FAIL TO EXHIBIT FISH ON DEMAND OF WARDEN
1419,ASLT PRSN:PUB TRANSP/ETC
1420,"POSS SCH III,IV,V NARC CONT SUB W/O PRES"
1421,POSSESS KNIFE/ETC AT COLLEGE/UNIVERSITY
1422,POSSESS/TRAIN/KEEP FIGHTING DOG
1423,POSS/COMPLETED CHECK W/INTENT COMIT FORGY
1424,SOLICT PARTICPTE STREET GANG PHYS VIOLNCE
1425,MINOR THREATEN/COERCE MINOR JOIN GANG
1426,RECKLESS DRIVING W/INJURY
1427,USE EXPIRE/FORGE/REVOKE ACCESS CARD
1428,FAIL TO EXCHANGE INFO FOLLOWING ACCIDENT
1429,TRANSPORT/SELL/ETC PHENCYCLIDINE
1430,FAIL TO MAINT SEP LIVING QUARTERS
1431,POSS COMPL CHECK/ETC W/INTENT TO DEFRAUD
1432,FORGE/ETC PRESCRIPTION
1433,POSSESS TEAR GAS WEAPON W/O PERMIT
1434,POSSESS LOADED WEAPON/PUBLIC
1435,FALSE REPORT OF BOMB TO ANY PEACE OFFICER
1436,EXECUTE SCHEME OBTAIN MNEY/PROP MEDI-CAL
1437,ILLEGALLY DISPOSE HAZARDOUS WASTE
1438,POSSESSION OF 50 BMG RIFLE
1439,DISRUPTIVE ENTRY OF SCHL AFTR ASK LEAVE
1440,TRANSPORT/ETC MARIJUANA
1441,BATT PRSN ON SCHOOL PROP
1442,CONTACT MINOR FOR SEXUAL OFFENSE
1443,LIBEL
1444,MAKE/USE/POSSESS/DUPLICATE PUBLIC BLD KEY
1445,SEX REGISTRANT/FAIL TO REGISTER
1446,AID/ABET ILLEGAL EXHIBIT OF SPEED
1447,POSS/RECEIPT OF FORGED NOTES/BILLS/ETC
1448,POSSDRUGS BY FORGED PRESCRIPTION
1449,MALICIOUS ACCESS COMPUTER CREDIT SYSTEM
1450,POSSESS GAME COCK FOR FIGHTING
1451,L & L ACT DEP ADULT W/FORCE:BY CARETAKER
1452,MANUFACTURE/ETC FALSE CITIZENSHIP DOCU
1453,ASSAULT W/STUN GUN/TASER ON PO/FIREFIGHTR
1454,FALSE STATEMENT REGARDING AID
1455,"VANDALISM W/LOSS VALUED > $5000/<$50,000"
1456,OPEN/PUBLISH ANOTHER'S LETTER
1457,GLENDORA MUNICIPAL CODE
1458,THEFT OF UTILITY SERVICES > $400
1459,SANTA FE SPRINGS MUNICIPAL CODE
1460,FAILURE TO GIVE WRITTEN NOTICE
1461,FTA AFTER O.R. RELEASE ON MISDEMEANOR
1462,CONTEMPT OF COURT - PRESENCE REFEREE/JURY
1463,TAKE AIRCRAFT W/O OWNER'S CONSENT
1464,POSSESS SPECIFIC CNTL SUBS FOR SALE
1465,OPERATE W/O BAIL LICENSE
